2016 BirdLife/HBW/IUCN scientific name;2016 BirdLife/HBW/IUCN English name;Sequence;IUCN Red List (2016);EU27 Red List (2015);1999 EU list (Voous);1999 EU list (Sibley & Monroe);Reason for change (1999 vs 2015);Reason for change (2015 vs 2018);Occurrence in EU;Birds Directive synonym;Annex I ;Annex II/A;Annex II/B;Annex III/A;Annex III/B;Annex restrictions & notes;Migratory status in EU;Justification for migratory status;CMS;AEWA;Raptors MoU;AEMLAP;CITES;Council Reg. No 338/97;IOC (v.7.2) species;IOC (v.7.2) name;Clements (v.2016) species;Clements (v.2016) name;Howard & Moore (v.4) species;Howard & Moore (v.4) name;
Alle alle;Little Auk;2693;LC;NE;Alle alle;Alle alle;;;M + W;;;;;;;;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Alle alle;Yes;Alle alle;Yes;Alle alle;
Uria aalge;Common Murre;2695;LC;LC;Uria aalge;Uria aalge;;;N, H + W;;I *;;;;;* U. a. ibericus only;Migratory;Listed by AEWA;;AEWA;;;;;Yes;Uria aalge;Yes;Uria aalge;Yes;Uria aalge;
Tyto alba;Common Barn-owl;2710;LC;LC;Tyto alba;Tyto alba;;;N, H;;;;;;;;Non-migratory;;;;;;II;A;Yes;Tyto alba;Yes;Tyto alba;Yes;Tyto alba;
Surnia ulula;Northern Hawk-owl;2754;LC;LC;Surnia ulula;Surnia ulula;;;N, H + W;;I;;;;;;Migratory;Listed by Raptors MoU;;;Raptors;;II;A;Yes;Surnia ulula;Yes;Surnia ulula;Yes;Surnia ulula;
Glaucidium passerinum;Eurasian Pygmy-owl;2755;LC;LC;Glaucidium passerinum;Glaucidium passerinum;;;N, H;;I;;;;;;Non-migratory;;;;;;II;A;Yes;Glaucidium passerinum;Yes;Glaucidium passerinum;Yes;Glaucidium passerinum;
Athene noctua;Little Owl;2791;LC;LC;Athene noctua;Athene noctua;;;N, H + Int (N, H);;;;;;;;Non-migratory;;;;;;II;A;Yes;Athene noctua;Yes;Athene noctua;Yes;Athene noctua;
Aegolius funereus;Boreal Owl;2794;LC;LC;Aegolius funereus;Aegolius funereus;;;N, H;;I;;;;;;Migratory;Listed by Raptors MoU;;;Raptors;;II;A;Yes;Aegolius funereus;Yes;Aegolius funereus;Yes;Aegolius funereus;
Otus scops;Eurasian Scops-owl;2828;LC;LC;Otus scops;Otus scops;;;N + M;;;;;;;;Migratory;Listed by Raptors MoU;;;Raptors;;II;A;No;Otus scops/cyprius;Yes;Otus scops;Yes;Otus scops;
Asio otus;Northern Long-eared Owl;2856;LC;LC;Asio otus;Asio otus;;;N, H + W;;;;;;;;Migratory;Listed by Raptors MoU;;;Raptors;;II;A;Yes;Asio otus;Yes;Asio otus;Yes;Asio otus;
Asio flammeus;Short-eared Owl;2860;LC;LC;Asio flammeus;Asio flammeus;;;N, H + M + W;;I;;;;;;Migratory;Listed by Raptors MoU;;;Raptors;;II;A;Yes;Asio flammeus;Yes;Asio flammeus;Yes;Asio flammeus;
