"country","region","region_orig","regionhash","speciescode","speciesname","assessment_speciescode","assessment_speciesname","tax_group","presence","annex_II_priority","annex_II","annex_IV","annex_V","comments_annex_II","comments_annex_IV","comments_annex_V"
"FR","ALP","ALP","46538c375e4d89f2f8b482e77f738e07",1358,"Mustela putorius",1358,"Mustela putorius","Mammals","1","N","N","N","Y","","",""
"PT","MED","MED","4666b770f6bb8cfa191f032e761369c6",1840,"Asphodelus bento-rainhae",1840,"Asphodelus bento-rainhae","Vascular plants","1","Y","Y","Y","N","","",""
"PT","MED","MED","467bce037740c92dc6b0c3abb61ff850",1716,"Linaria coutinhoi",1716,"Linaria coutinhoi","Vascular plants","1","N","Y","Y","N","","",""
"BG","ALP","ALP","46ba17d2925889315ce6b4e21ed9b64d",5088,"Barbus cyclolepis",5088,"Barbus cyclolepis","Fish","LR","N","Y-CTC","N","Y-CTC","","",""
"IT","CON","CON","46e817060c26ce4336ba6877d7b560f6",1327,"Eptesicus serotinus",1327,"Eptesicus serotinus","Mammals","1","N","N","Y-HTL","N","","",""
"AT","CON","CON","46f269f92c0d2c7c3e2cd88ce0e32b5b",1396,"Notothylas orbicularis",1396,"Notothylas orbicularis","Non-vascular plants","1","N","Y","N","N","","",""
"MT","MED","MED","47046aa89082ed4ccf4d8391bf0684cf",5005,"Myotis punicus",5005,"Myotis punicus","Mammals","1","N","N","Y-HTL","N","","",""
"PL","ALP","ALP","4736e781c354d87869627d33683a28ca",1322,"Myotis nattereri",1322,"Myotis nattereri","Mammals","1","N","N","Y-HTL","N","","",""
"FR","ATL","ATL","4742ed2617c3defb98bf464359c59425",1308,"Barbastella barbastellus",1308,"Barbastella barbastellus","Mammals","1","N","Y","Y","N","","",""
"ES","MED","MED","474ed12682039f216ba38487dd1300d5",1256,"Podarcis muralis",1256,"Podarcis muralis","Reptiles","1","N","N","Y","N","","",""
"AT","ALP","ALP","478c81d59398798390f179500e0d9f4a",1149,"Cobitis taenia",1149,"Cobitis taenia","Fish","1","N","Y","N","N","Annex II : except the Finnish populations","",""
"IT","CON","CON","47d309a4678d99e7599ca67cb6016aae",1657,"Gentiana lutea",1657,"Gentiana lutea","Vascular plants","1","N","N","N","Y","","",""
"BG","CON","CON","48003e6e80886f139a352ca3d99fec07",1067,"Lopinga achine",1067,"Lopinga achine","Arthropods","1","N","N","Y","N","","",""
"PT","MAC","MAC","48466cc9535fa20c6220fc5590322250",1679,"Myosotis maritima",1679,"Myosotis maritima","Vascular plants","1","N","Y","Y","N","","",""
"ES","MED","MED","4862e03533dd29e32d36ef5cd43de372",1875,"Iris lusitanica",1875,"Iris lusitanica","Vascular plants","1","N","N","N","Y","","",""
"ES","MED","MED","486603fcb7890fb902f8f2e513adcb82",1216,"Rana iberica",1216,"Rana iberica","Amphibians","1","N","N","Y","N","","",""
"ES","MAC","MAC","4872d2c17b2ab63c05110db8d3bcbce5",1426,"Woodwardia radicans",1426,"Woodwardia radicans","Vascular plants","1","N","Y","Y","N","","",""
"PL","CON","CON","487fa240a239991e833da7fef1f4a302",1902,"Cypripedium calceolus",1902,"Cypripedium calceolus","Vascular plants","1","N","Y","Y","N","","",""
"PT","MMAC","MMAC","4891553f09a8c89e151451567836b276",2035,"Ziphius cavirostris",2035,"Ziphius cavirostris","Mammals","1","N","N","Y-HTL","N","","",""
"DE","ALP","ALP","48b412e68a6ca0aa94b101c4cd99dddc",1013,"Vertigo geyeri",1013,"Vertigo geyeri","Molluscs","1","N","Y","N","N","","",""
"PT","MED","MED","48ba0bb96e97eac1b47ee88c98f54a2a",1174,"Triturus marmoratus",1174,"Triturus marmoratus","Amphibians","1","N","N","Y","N","","",""
